period_end,air_temp,dni,ghi
2023-01-08 05:30:00+00:00,10,0,0
2023-01-08 06:00:00+00:00,10,0,0
2023-01-08 06:30:00+00:00,10,0,0
2023-01-08 07:00:00+00:00,10,24,7
2023-01-08 07:30:00+00:00,10,42,38
2023-01-08 08:00:00+00:00,10,77,92
2023-01-08 08:30:00+00:00,11,176,150
2023-01-08 09:00:00+00:00,12,350,217
2023-01-08 09:30:00+00:00,13,79,212
2023-01-08 10:00:00+00:00,13,180,262
2023-01-08 10:30:00+00:00,14,499,345
2023-01-08 11:00:00+00:00,15,408,338
2023-01-08 11:30:00+00:00,15,321,320
2023-01-08 12:00:00+00:00,15,573,373
2023-01-08 12:30:00+00:00,15,0,166
2023-01-08 13:00:00+00:00,15,31,196
2023-01-08 13:30:00+00:00,15,0,173
2023-01-08 14:00:00+00:00,15,111,167
2023-01-08 14:30:00+00:00,15,0,90
2023-01-08 15:00:00+00:00,15,0,36
2023-01-08 15:30:00+00:00,15,80,41
2023-01-08 16:00:00+00:00,15,7,7
2023-01-08 16:30:00+00:00,15,0,0
2023-01-08 17:00:00+00:00,14,0,0
2023-01-08 17:30:00+00:00,14,0,0
2023-01-08 18:00:00+00:00,14,0,0
2023-01-08 18:30:00+00:00,14,0,0
2023-01-08 19:00:00+00:00,14,0,0
2023-01-08 19:30:00+00:00,14,0,0
2023-01-08 20:00:00+00:00,14,0,0
2023-01-08 20:30:00+00:00,14,0,0
2023-01-08 21:00:00+00:00,14,0,0
2023-01-08 21:30:00+00:00,14,0,0
2023-01-08 22:00:00+00:00,14,0,0
2023-01-08 22:30:00+00:00,14,0,0
2023-01-08 23:00:00+00:00,14,0,0
2023-01-08 23:30:00+00:00,14,0,0
2023-01-09 00:00:00+00:00,15,0,0
2023-01-09 00:30:00+00:00,14,0,0
2023-01-09 01:00:00+00:00,14,0,0
2023-01-09 01:30:00+00:00,14,0,0
2023-01-09 02:00:00+00:00,14,0,0
2023-01-09 02:30:00+00:00,14,0,0
2023-01-09 03:00:00+00:00,14,0,0
2023-01-09 03:30:00+00:00,14,0,0
2023-01-09 04:00:00+00:00,15,0,0
2023-01-09 04:30:00+00:00,15,0,0
2023-01-09 05:00:00+00:00,15,0,0
2023-01-09 05:30:00+00:00,15,0,0
2023-01-09 06:00:00+00:00,15,0,0
2023-01-09 06:30:00+00:00,16,0,0
2023-01-09 07:00:00+00:00,16,0,0
2023-01-09 07:30:00+00:00,16,0,4
2023-01-09 08:00:00+00:00,16,0,12
2023-01-09 08:30:00+00:00,15,0,28
2023-01-09 09:00:00+00:00,15,0,48
2023-01-09 09:30:00+00:00,15,0,95
2023-01-09 10:00:00+00:00,15,0,143
2023-01-09 10:30:00+00:00,15,22,232
2023-01-09 11:00:00+00:00,15,0,54
2023-01-09 11:30:00+00:00,15,0,116
2023-01-09 12:00:00+00:00,15,0,22
2023-01-09 12:30:00+00:00,15,0,39
2023-01-09 13:00:00+00:00,15,0,58
2023-01-09 13:30:00+00:00,14,9,174
2023-01-09 14:00:00+00:00,14,0,96
